source_id,title,category,access,local_state,authority_role,automation_route,url
adi-an-0971-isolated-circuits-emissions,AN-0971: Recommendations for Control of Radiated Emissions with isoPower Devices,isolation-emc,free-official,network-blocked-monitor-online,device-family guidance,retry then browser-capable official fallback,https://www.analog.com/media/en/technical-documentation/app-notes/AN-0971.pdf
ti-snla387-ethernet-phy-layout-checklist,Ethernet PHY PCB Design Layout Checklist,ethernet-high-speed,free-official,identity-pinned-private-cache,interface-family checklist,official HTTPS intake,https://www.ti.com/lit/an/snla387/snla387.pdf
ti-slva680a-system-level-esd,ESD Protection Layout Guide,esd-protection,free-official,already-local-pinned,protection topology guidance,existing local source,https://www.ti.com/lit/an/slva680a/slva680a.pdf
amd-ug583,UltraScale Architecture PCB Design User Guide,fpga-soc-ddr-serdes,free-official,monitored-online-current,device-family authority,version-monitored official portal,https://docs.amd.com/r/en-US/ug583-ultrascale-pcb-design/Examples
intel-agilex5-pcb-guide,Agilex 5 PCB Design Guidelines HSSI EMIF MIPI True Differential PDN,fpga-soc-bga,free-official,monitored-online-current,device-family authority,version-monitored official portal,https://www.intel.com/content/www/us/en/docs/programmable/821801/current/overview-on-bga-patterns.html
kicad-packages3d,KiCad official 3D model libraries,cad-assets,free-open,available-upstream,preferred generic CAD source,GitLab API or pinned clone,https://gitlab.com/kicad/libraries/kicad-packages3D
ipc-2226a,IPC-2226A Sectional Design Standard for HDI Printed Boards,hdi-microvia,paid-standard,historical-original-local-current-a-absent,process standard,purchase or user-supplied local intake,https://shop.electronics.org/ipc-2226/ipc-2226-standard-only
ipc-7095d-am1,IPC-7095D Amendment 1 Design and Assembly Process for BGA,advanced-packaging,paid-standard,not-found-local,package and assembly standard,purchase or user-supplied local intake,https://shop.electronics.org/ipc-7095/ipc-7095-standard-amendments
ipc-4761,IPC-4761 Design Guide for Protection of Printed Board Via Structures,via-protection,paid-standard,not-found-local,process standard,purchase or user-supplied local intake,https://shop.electronics.org/ipc-4761/ipc-4761-standard-only
ipc-6012f,IPC-6012F Qualification and Performance Specification for Rigid Printed Boards,fabrication-quality,paid-standard,historical-c-local-current-f-absent,qualification and acceptance standard,purchase or user-supplied local intake,https://shop.electronics.org/ipc-6012/ipc-6012-standard-only/Revision-f/english
ipc-6013e,IPC-6013E Qualification and Performance Specification for Flexible and Rigid-Flexible Printed Boards,flex-rigid-flex,paid-standard,historical-d-local-current-e-absent,qualification and acceptance standard,purchase or user-supplied local intake,https://shop.electronics.org/ipc-6013/ipc-6013-standard-only
ipc-4552b,IPC-4552B ENIG Specification,surface-finish,paid-standard,not-found-local,finish specification,purchase or user-supplied local intake,https://shop.electronics.org/ipc-4552/ipc-4552-standard-only
digikey-product-information-v4,DigiKey Product Information V4,component-metadata,credentialed-api,not-configured,discovery and datasheet locator,OAuth API with user credentials,https://developer.digikey.com/products/product-information-v4/productsearch/productdetails?prod=true
mouser-search-api,Mouser Search API,component-metadata,credentialed-api,not-configured,discovery datasheet lifecycle and supply locator,API key with user account,https://www.mouser.com/en/apihome/
element14-product-search-api,element14 Product Search API,component-metadata,credentialed-api,not-configured,discovery and part metadata locator,API key with user account,https://partner.element14.com/docs/read/Home
nexar-api,Nexar API,component-and-supply-metadata,credentialed-api,client-present-no-credentials,discovery and datasheet locator only,OAuth GraphQL with user-approved terms,https://nexar.com/api
snapmagic,SnapMagic CAD Platform,cad-assets,commercial-contract,not-configured,conditional symbol footprint and 3D source,manual or contracted API with license gate,https://www.snapmagic.com/msa
ultra-librarian,Ultra Librarian,cad-assets,registration-and-terms,not-configured,conditional symbol footprint and 3D source,manual account flow or licensed integration,https://www.ultralibrarian.com/contact/
